time/time_elapsed,train/entropy_loss,train/value_loss,train/explained_variance,train/reward,time/iterations,time/total_timesteps,train/learning_rate,train/n_updates,time/fps,train/std,train/policy_loss
0,-1.4174877405166626,60.05199432373047,-0.00458979606628418,-5.2094,100,500,0.0007,99,1481,0.9982183575630188,8.11490249633789
0,-1.4156607389450073,398.4830627441406,0.0,31.21628,200,1000,0.0007,199,1724,0.9960802793502808,-3.701368808746338
0,-1.4191641807556152,6797.3427734375,1.1920928955078125e-07,37.948906,300,1500,0.0007,299,1834,1.0005842447280884,-65.14146423339844
1,-1.426430344581604,1439.536865234375,0.0,20.918541,400,2000,0.0007,399,1897,1.0071829557418823,45.896827697753906
1,-1.4357764720916748,27155.41015625,-0.0024262666702270508,-121.559845,500,2500,0.0007,499,1936,1.0175937414169312,-127.10130310058594
1,-1.4264423847198486,199.78640747070312,-1.1920928955078125e-07,-4.100634,600,3000,0.0007,599,1965,1.0079203844070435,8.236554145812988
1,-1.4278944730758667,1572.6566162109375,0.0,-28.42499,700,3500,0.0007,699,1990,1.0088505744934082,-43.49161911010742
1,-1.4342103004455566,18209.505859375,0.0,-278.33865,800,4000,0.0007,799,2003,1.0150442123413086,83.94091033935547
2,-1.4369691610336304,4868.5546875,-0.04285836219787598,-1.7820348,900,4500,0.0007,899,2010,1.017560362815857,71.99131774902344
2,-1.431341290473938,980848.375,0.0,-101.077576,1000,5000,0.0007,999,2020,1.0125250816345215,578.6270141601562
2,-1.4455959796905518,762.0823364257812,0.0,-85.288315,1100,5500,0.0007,1099,2028,1.0264692306518555,-17.225309371948242
2,-1.4397122859954834,9372.5947265625,0.0,373.46957,1200,6000,0.0007,1199,2037,1.0207315683364868,-109.0196762084961
3,-1.438201904296875,2025032.25,0.0,-79.73879,1300,6500,0.0007,1299,2044,1.0198373794555664,-1616.2060546875
3,-1.4497824907302856,15192.759765625,0.0,-31.949715,1400,7000,0.0007,1399,2049,1.030992865562439,139.43246459960938
3,-1.445528268814087,0.7430474758148193,0.0,-2.3838098,1500,7500,0.0007,1499,2055,1.028233289718628,1.0838781595230103
3,-1.4483447074890137,222.8063507080078,0.005772888660430908,-2.2072272,1600,8000,0.0007,1599,2062,1.0296216011047363,-24.457914352416992
4,-1.447067141532898,289.83599853515625,0.0,1.0857984,1700,8500,0.0007,1699,2067,1.0284909009933472,-24.924884796142578
4,-1.4390478134155273,178329.3125,0.00010442733764648438,-276.42044,1800,9000,0.0007,1799,2070,1.0206364393234253,-422.1869201660156
4,-1.441142201423645,36.04395294189453,0.0,-0.29410622,1900,9500,0.0007,1899,2072,1.0231213569641113,-3.207685947418213
4,-1.4466592073440552,16.247636795043945,0.0,1.5954884,2000,10000,0.0007,1999,2076,1.028319239616394,5.124355792999268
5,-1.445269227027893,2791.707763671875,0.0,91.63452,2100,10500,0.0007,2099,2080,1.0277034044265747,83.34873962402344
5,-1.4533882141113281,32525.69921875,-1.1920928955078125e-07,-29.583094,2200,11000,0.0007,2199,2083,1.0343714952468872,168.3515167236328
5,-1.4500209093093872,9.393843650817871,1.1920928955078125e-07,-4.5243406,2300,11500,0.0007,2299,2086,1.0312227010726929,1.6318689584732056
5,-1.4415992498397827,2864.754150390625,0.0,1.8949263,2400,12000,0.0007,2399,2089,1.0225903987884521,54.80500411987305
5,-1.4371581077575684,143727.96875,-2.384185791015625e-07,120.74718,2500,12500,0.0007,2499,2091,1.0178546905517578,-599.6351318359375
6,-1.4408929347991943,43766.328125,-1.1920928955078125e-07,-82.15838,2600,13000,0.0007,2599,2089,1.0226742029190063,358.97967529296875
6,-1.4380747079849243,131345.40625,0.0,7.5675607,2700,13500,0.0007,2699,2088,1.0202350616455078,-212.1548309326172
6,-1.4357908964157104,70.7518310546875,-1.1920928955078125e-07,-0.912808,2800,14000,0.0007,2799,2089,1.017237663269043,-10.1242094039917
6,-1.4241974353790283,155.7004852294922,0.013774514198303223,11.9419565,2900,14500,0.0007,2899,2090,1.0046073198318481,11.772729873657227
7,-1.4331520795822144,482.65875244140625,0.0,-198.30243,3000,15000,0.0007,2999,2092,1.0145044326782227,11.304280281066895
7,-1.4319254159927368,7543.70556640625,0.0,-47.1511,3100,15500,0.0007,3099,2093,1.0132266283035278,-96.98350524902344
7,-1.437289834022522,303698.28125,2.384185791015625e-07,223.1247,3200,16000,0.0007,3199,2095,1.0187630653381348,-365.2428283691406
7,-1.4357775449752808,98.9600601196289,0.08878076076507568,12.474439,3300,16500,0.0007,3299,2095,1.0142548084259033,-29.106884002685547
8,-1.4254835844039917,29.992712020874023,0.0,-1.7381243,3400,17000,0.0007,3399,2096,1.006170392036438,2.8695390224456787
8,-1.416498064994812,242.2108154296875,0.0,-3.1566672,3500,17500,0.0007,3499,2098,0.9975311756134033,19.84502410888672
8,-1.4276418685913086,596.9397583007812,0.004791557788848877,-38.10463,3600,18000,0.0007,3599,2099,1.0087486505508423,-27.08335304260254
8,-1.425236701965332,579259.0625,2.384185791015625e-07,12.023933,3700,18500,0.0007,3699,2100,1.0064646005630493,1013.8142700195312
9,-1.424817442893982,1769.662841796875,0.0,13.128177,3800,19000,0.0007,3799,2100,1.0063104629516602,67.8488998413086
9,-1.4271003007888794,588565.125,-1.1920928955078125e-07,-48.809925,3900,19500,0.0007,3899,2101,1.0076395273208618,745.7069091796875
9,-1.433585286140442,9714763.0,0.0,1625.5172,4000,20000,0.0007,3999,2103,1.0145025253295898,-4369.44287109375
9,-1.4409197568893433,642.2030029296875,0.0,-61.943916,4100,20500,0.0007,4099,2103,1.0216573476791382,26.529541015625
